x y label
0.000 15.156 a
0.004 15.148 a
0.014 15.129 a
0.018 15.134 a
0.022 15.101 a
0.026 15.084 a
0.030 15.071 a
0.034 15.053 a
0.040 15.067 a
0.045 15.058 a
0.050 15.063 a
0.058 15.028 a
0.079 15.023 a
0.084 15.013 a
0.089 15.010 a
0.094 14.994 a
0.099 15.006 a
0.103 14.981 a
0.106 15.007 a
0.110 14.966 a
0.114 14.982 a
0.118 14.985 a
0.121 14.976 a
0.146 14.981 a
0.151 14.975 a
0.156 14.977 a
0.160 14.987 a
0.164 14.937 a
0.170 14.991 a
0.177 15.008 a
0.181 15.003 a
0.185 15.002 a
0.189 15.004 a
0.193 15.009 a
0.199 15.012 a
0.204 15.017 a
0.208 15.046 a
0.212 15.022 a
0.216 15.048 a
0.220 15.045 a
0.224 15.039 a
0.228 15.048 a
0.231 15.067 a
0.240 15.059 a
0.244 15.071 a
0.248 15.072 a
0.251 15.069 a
0.255 15.103 a
0.259 15.091 a
0.265 15.104 a
0.271 15.112 a
0.279 15.132 a
0.285 15.134 a
