Star	Mean Magnitude	Distance
1	15.631		9 698.4 +/- 446.3 pc
2	15.047		7 409.2 +/- 341.0 pc
3	15.570		9 428.9 +/- 433.9 pc
4	15.597		9 547.8 +/- 439.4 pc
Mean Distance		9 021.1 +/- 415.1 pc
